,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Joker Jam Paul van Dyk,Innocence,Paul Van Dyk Mix,0.00658,https://api.spotify.com/v1/audio-analysis/1mnAxNZ284QtQBejLIMw3z,0.679,509627.0,0.747,1mnAxNZ284QtQBejLIMw3z,0.698,2.0,0.102,-11.368,1.0,0.0382,134.974,4.0,https://api.spotify.com/v1/tracks/1mnAxNZ284QtQBejLIMw3z,audio_features,spotify:track:1mnAxNZ284QtQBejLIMw3z,0.375
1,Piliavin Zimbardo,Just Once,Original Mix,0.000349,https://api.spotify.com/v1/audio-analysis/2xNXviPMBizvBx4CG1x58n,0.767,538000.0,0.944,2xNXviPMBizvBx4CG1x58n,0.855,2.0,0.681,-9.392,1.0,0.0689,129.999,4.0,https://api.spotify.com/v1/tracks/2xNXviPMBizvBx4CG1x58n,audio_features,spotify:track:2xNXviPMBizvBx4CG1x58n,0.21
2,Tim J dj Larry,Denon,Original Mix,,,,,,,,,,,,,,,,,,
3,Sinead O'Connor Push,Troy,Push Remix,0.482,https://api.spotify.com/v1/audio-analysis/6m3kJ6d7Ypd1eoBoGP2qZN,0.315,391200.0,0.311,6m3kJ6d7Ypd1eoBoGP2qZN,1.42e-06,10.0,0.44,-9.233,1.0,0.032,116.404,4.0,https://api.spotify.com/v1/tracks/6m3kJ6d7Ypd1eoBoGP2qZN,audio_features,spotify:track:6m3kJ6d7Ypd1eoBoGP2qZN,0.184
4,2 Players,Signet,Original Mix,0.00105,https://api.spotify.com/v1/audio-analysis/3RMw17sHWNQeue148HbuPn,0.55,285953.0,0.891,3RMw17sHWNQeue148HbuPn,0.736,1.0,0.455,-11.99,1.0,0.0456,135.162,4.0,https://api.spotify.com/v1/tracks/3RMw17sHWNQeue148HbuPn,audio_features,spotify:track:3RMw17sHWNQeue148HbuPn,0.45
5,The Spacelovers,Space Lover,Original Mix,0.0333,https://api.spotify.com/v1/audio-analysis/5LtvOtc2m1qXOUNPCOy0aQ,0.538,255853.0,0.716,5LtvOtc2m1qXOUNPCOy0aQ,0.427,3.0,0.0728,-11.005,0.0,0.0309,129.985,4.0,https://api.spotify.com/v1/tracks/5LtvOtc2m1qXOUNPCOy0aQ,audio_features,spotify:track:5LtvOtc2m1qXOUNPCOy0aQ,0.425
6,Midway,Monkey Forest,Original Mix,0.0128,https://api.spotify.com/v1/audio-analysis/2UbduQjCVHbwntjpG9OOSg,0.662,659280.0,0.988,2UbduQjCVHbwntjpG9OOSg,0.843,6.0,0.0783,-7.705,0.0,0.0522,136.984,4.0,https://api.spotify.com/v1/tracks/2UbduQjCVHbwntjpG9OOSg,audio_features,spotify:track:2UbduQjCVHbwntjpG9OOSg,0.332
7,Futura Legend Signum,Restless Nature,Signum Remix,,,,,,,,,,,,,,,,,,
8,Lost Witness DJ Tiësto,Did I Dream (Song Of The Siren),DJ Tiesto Remix,0.0202,https://api.spotify.com/v1/audio-analysis/030HyYxnjJ6xr2yWyghuPd,0.577,514827.0,0.749,030HyYxnjJ6xr2yWyghuPd,0.542,7.0,0.186,-9.197,0.0,0.0354,135.011,4.0,https://api.spotify.com/v1/tracks/030HyYxnjJ6xr2yWyghuPd,audio_features,spotify:track:030HyYxnjJ6xr2yWyghuPd,0.481
9,Push,Tranzy State Of Mind,Original Mix,0.000396,https://api.spotify.com/v1/audio-analysis/4JEOAy6hHDFWGIB3B4vIhI,0.655,414440.0,0.714,4JEOAy6hHDFWGIB3B4vIhI,0.82,11.0,0.1,-11.239,0.0,0.052,138.052,4.0,https://api.spotify.com/v1/tracks/4JEOAy6hHDFWGIB3B4vIhI,audio_features,spotify:track:4JEOAy6hHDFWGIB3B4vIhI,0.392
10,Bastian & Ernesto,Lonely People,Original Mix,,,,,,,,,,,,,,,,,,
11,Rank 1,Awakening,Original Mix,0.000313,https://api.spotify.com/v1/audio-analysis/3d4FOqsHoJIxJepIKVFfV3,0.525,243453.0,0.927,3d4FOqsHoJIxJepIKVFfV3,0.878,1.0,0.0813,-7.032,1.0,0.0459,138.022,4.0,https://api.spotify.com/v1/tracks/3d4FOqsHoJIxJepIKVFfV3,audio_features,spotify:track:3d4FOqsHoJIxJepIKVFfV3,0.406
12,4 Strings Shlomi Aber Coast 2 Coast,Take Me Away (Into The Night),Coast 2 Coast Remix,0.00107,https://api.spotify.com/v1/audio-analysis/2iXSGmkft1qLUwxkRolc9U,0.608,191120.0,0.745,2iXSGmkft1qLUwxkRolc9U,0.0507,3.0,0.439,-8.212,0.0,0.0352,138.021,4.0,https://api.spotify.com/v1/tracks/2iXSGmkft1qLUwxkRolc9U,audio_features,spotify:track:2iXSGmkft1qLUwxkRolc9U,0.322
13,Ferry Corsten,Punk,Original Mix,0.000153,https://api.spotify.com/v1/audio-analysis/1Ib1oMPttDiKEVT3rAayZS,0.531,371211.0,0.633,1Ib1oMPttDiKEVT3rAayZS,0.829,8.0,0.121,-14.132,0.0,0.0419,139.662,4.0,https://api.spotify.com/v1/tracks/1Ib1oMPttDiKEVT3rAayZS,audio_features,spotify:track:1Ib1oMPttDiKEVT3rAayZS,0.141
14,M-Diva,Reachin' Out,Original Mix,,,,,,,,,,,,,,,,,,
15,Laguna,Unforgiven,Original Mix,0.00123,https://api.spotify.com/v1/audio-analysis/0aISEBL3ais9kjHIcpJayx,0.7,475736.0,0.69,0aISEBL3ais9kjHIcpJayx,0.765,6.0,0.345,-14.212,0.0,0.0478,139.037,4.0,https://api.spotify.com/v1/tracks/0aISEBL3ais9kjHIcpJayx,audio_features,spotify:track:0aISEBL3ais9kjHIcpJayx,0.341
16,Marco V,Atlanta 02.02.2002,Original Mix,0.000148,https://api.spotify.com/v1/audio-analysis/1Q4fcPrtL4zGab2lqNrgbT,0.624,421987.0,0.989,1Q4fcPrtL4zGab2lqNrgbT,0.799,7.0,0.18,-5.901,1.0,0.0572,137.993,4.0,https://api.spotify.com/v1/tracks/1Q4fcPrtL4zGab2lqNrgbT,audio_features,spotify:track:1Q4fcPrtL4zGab2lqNrgbT,0.31
17,Vac-Scene Kid Vicious,My Emotion,Kid Vicious Remix,,,,,,,,,,,,,,,,,,
18,Ultra Gielen Svenson,Free,Svenson & Gielen Mix,7.96e-06,https://api.spotify.com/v1/audio-analysis/7A2PtAC8BSoZO2sduqTF0H,0.441,443981.0,0.981,7A2PtAC8BSoZO2sduqTF0H,0.928,2.0,0.48,-7.48,1.0,0.153,144.126,4.0,https://api.spotify.com/v1/tracks/7A2PtAC8BSoZO2sduqTF0H,audio_features,spotify:track:7A2PtAC8BSoZO2sduqTF0H,0.183
19,Delerium Rani Rank 1,Underwater,Rank 1 Remix,9.05e-06,https://api.spotify.com/v1/audio-analysis/1GJu9I6Wb443YSjn5gmb55,0.641,555733.0,0.895,1GJu9I6Wb443YSjn5gmb55,0.854,10.0,0.0638,-10.386,0.0,0.0462,140.023,4.0,https://api.spotify.com/v1/tracks/1GJu9I6Wb443YSjn5gmb55,audio_features,spotify:track:1GJu9I6Wb443YSjn5gmb55,0.321
