,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Sonny Fodera   Yasmin, Feeling U ,David Morales Remix,0.0138,https://api.spotify.com/v1/audio-analysis/0OKjMP0q0Q6tzxat2OLNvw,10B,0.655,414540.0,0.771,0OKjMP0q0Q6tzxat2OLNvw,0.337,2.0,0.226,-5.886,1.0,0.0394,121.997,4.0,https://api.spotify.com/v1/tracks/0OKjMP0q0Q6tzxat2OLNvw,audio_features,spotify:track:0OKjMP0q0Q6tzxat2OLNvw,0.41
1,Kungs   Ephemerals, I Feel So Bad,unknown,0.205,https://api.spotify.com/v1/audio-analysis/6SqX9J8tXk7rXaspk7GWX1,8A,0.762,206960.0,0.821,6SqX9J8tXk7rXaspk7GWX1,0.000419,9.0,0.259,-4.17,0.0,0.0389,122.999,4.0,https://api.spotify.com/v1/tracks/6SqX9J8tXk7rXaspk7GWX1,audio_features,spotify:track:6SqX9J8tXk7rXaspk7GWX1,0.769
2,Uberjak'd   Yton, Fix You Up ,Tom Budin Remix,,,,,,,,,,,,,,,,,,,
3,Arma Asino, Let's Get Down,unknown,,,,,,,,,,,,,,,,,,,
4,AFSHeeN, Secrets,unknown,0.266,https://api.spotify.com/v1/audio-analysis/0T93jL0XjaY6qF6j4qn7p4,10A,0.679,217358.0,0.858,0T93jL0XjaY6qF6j4qn7p4,0.028,11.0,0.0985,-6.064,0.0,0.0667,105.985,4.0,https://api.spotify.com/v1/tracks/0T93jL0XjaY6qF6j4qn7p4,audio_features,spotify:track:0T93jL0XjaY6qF6j4qn7p4,0.261
5,Kisch   Leela D, Love All Day,unknown,0.0639,https://api.spotify.com/v1/audio-analysis/6Gl4jJz0fiEfDzofLmIcOc,3B,0.791,205161.0,0.497,6Gl4jJz0fiEfDzofLmIcOc,0.0262,1.0,0.11,-8.284,1.0,0.0538,124.006,4.0,https://api.spotify.com/v1/tracks/6Gl4jJz0fiEfDzofLmIcOc,audio_features,spotify:track:6Gl4jJz0fiEfDzofLmIcOc,0.792
6,Dave Fogg Bumpy Fool, Drop That,unknown,0.0495,https://api.spotify.com/v1/audio-analysis/7GTDU5E6yzLGGUddTewCzo,2A,0.829,252000.0,0.87,7GTDU5E6yzLGGUddTewCzo,0.929,3.0,0.0383,-6.824,0.0,0.126,125.029,4.0,https://api.spotify.com/v1/tracks/7GTDU5E6yzLGGUddTewCzo,audio_features,spotify:track:7GTDU5E6yzLGGUddTewCzo,0.533
7,Mad Villains, I Need,unknown,0.0243,https://api.spotify.com/v1/audio-analysis/2perjYyq74WqYYX1OMUVKP,9B,0.828,348871.0,0.854,2perjYyq74WqYYX1OMUVKP,0.104,7.0,0.574,-6.244,1.0,0.1,124.011,4.0,https://api.spotify.com/v1/tracks/2perjYyq74WqYYX1OMUVKP,audio_features,spotify:track:2perjYyq74WqYYX1OMUVKP,0.188
8,Nimmo, Dancing Makes Us Brave ,CamelPhat Remix,0.000219,https://api.spotify.com/v1/audio-analysis/4ApBO201vOl7uUuw5W0DoM,3A,0.786,350680.0,0.944,4ApBO201vOl7uUuw5W0DoM,0.649,10.0,0.0289,-6.833,0.0,0.0865,121.991,4.0,https://api.spotify.com/v1/tracks/4ApBO201vOl7uUuw5W0DoM,audio_features,spotify:track:4ApBO201vOl7uUuw5W0DoM,0.299
9,BLR, Chá Preto,unknown,0.224,https://api.spotify.com/v1/audio-analysis/1Cux79FjZUbjOmXLPuYTYU,6B,0.771,194000.0,0.907,1Cux79FjZUbjOmXLPuYTYU,0.399,10.0,0.0922,-4.799,1.0,0.0484,119.976,3.0,https://api.spotify.com/v1/tracks/1Cux79FjZUbjOmXLPuYTYU,audio_features,spotify:track:1Cux79FjZUbjOmXLPuYTYU,0.114
