,Artist(s),Title,Release,acousticness,analysis_url,camelot,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Jordy Dazz Fafaq, Jumbo,unknown,0.000208,https://api.spotify.com/v1/audio-analysis/0heXK2TFHVnjWQ59tiBElo,4A,0.565,223800.0,0.963,0heXK2TFHVnjWQ59tiBElo,0.974,5.0,0.793,-6.092,0.0,0.0987,129.052,4.0,https://api.spotify.com/v1/tracks/0heXK2TFHVnjWQ59tiBElo,audio_features,spotify:track:0heXK2TFHVnjWQ59tiBElo,0.0373
1,Mydo, Benidorm,unknown,0.00265,https://api.spotify.com/v1/audio-analysis/3AGQZRVBBhSFiGWz6rkFvs,3B,0.44,165000.0,0.969,3AGQZRVBBhSFiGWz6rkFvs,0.635,1.0,0.332,-5.564,1.0,0.0464,128.011,4.0,https://api.spotify.com/v1/tracks/3AGQZRVBBhSFiGWz6rkFvs,audio_features,spotify:track:3AGQZRVBBhSFiGWz6rkFvs,0.423
2,SICK INDIVIDUALS, Lost & Found,unknown,0.0554,https://api.spotify.com/v1/audio-analysis/7qLOCvFiKQftHrEnGGc4N3,5A,0.532,206367.0,0.944,7qLOCvFiKQftHrEnGGc4N3,0.0818,0.0,0.29,-3.821,0.0,0.0779,127.961,4.0,https://api.spotify.com/v1/tracks/7qLOCvFiKQftHrEnGGc4N3,audio_features,spotify:track:7qLOCvFiKQftHrEnGGc4N3,0.289
3,Tom Jame, Combat,unknown,0.00788,https://api.spotify.com/v1/audio-analysis/34yZA1iVQP3qe0pPzxzkVs,4B,0.609,303750.0,0.987,34yZA1iVQP3qe0pPzxzkVs,0.845,8.0,0.194,-4.054,1.0,0.0711,128.011,4.0,https://api.spotify.com/v1/tracks/34yZA1iVQP3qe0pPzxzkVs,audio_features,spotify:track:34yZA1iVQP3qe0pPzxzkVs,0.226
4,Flatdisk, Horus,unknown,0.000145,https://api.spotify.com/v1/audio-analysis/2tsByRyOISgPCUi7G2BIK6,4B,0.646,291515.0,0.779,2tsByRyOISgPCUi7G2BIK6,0.884,8.0,0.0314,-3.923,1.0,0.0648,128.022,4.0,https://api.spotify.com/v1/tracks/2tsByRyOISgPCUi7G2BIK6,audio_features,spotify:track:2tsByRyOISgPCUi7G2BIK6,0.387
5,Vicetone, Heat,unknown,0.0862,https://api.spotify.com/v1/audio-analysis/2tWhrHMAHVVXYVF0ExD2NV,5A,0.757,349745.0,0.84,2tWhrHMAHVVXYVF0ExD2NV,0.00535,0.0,0.149,-4.208,0.0,0.326,127.995,4.0,https://api.spotify.com/v1/tracks/2tWhrHMAHVVXYVF0ExD2NV,audio_features,spotify:track:2tWhrHMAHVVXYVF0ExD2NV,0.652
6,Hokima Maayan Rechler, Arise,unknown,0.0238,https://api.spotify.com/v1/audio-analysis/3NLuqyBjV7FnfZAOAW8RtP,5A,0.544,300000.0,0.881,3NLuqyBjV7FnfZAOAW8RtP,0.0417,0.0,0.0578,-4.542,0.0,0.0371,125.99,4.0,https://api.spotify.com/v1/tracks/3NLuqyBjV7FnfZAOAW8RtP,audio_features,spotify:track:3NLuqyBjV7FnfZAOAW8RtP,0.425
7,Dada Life, One Smile ,Walden Remix,0.0226,https://api.spotify.com/v1/audio-analysis/0iqJyjvRiK1M6aTacWmOGF,2B,0.622,191265.0,0.949,0iqJyjvRiK1M6aTacWmOGF,0.00151,6.0,0.288,-3.437,1.0,0.0855,127.95,4.0,https://api.spotify.com/v1/tracks/0iqJyjvRiK1M6aTacWmOGF,audio_features,spotify:track:0iqJyjvRiK1M6aTacWmOGF,0.383
8,Ed Sheeran   Holl Rush Richie Lee, S,t,0.863,https://api.spotify.com/v1/audio-analysis/4DKZcdePM0QEh3TmYx5lKT,12B,0.67,226996.0,0.486,4DKZcdePM0QEh3TmYx5lKT,0.0359,4.0,0.142,-10.928,1.0,0.0281,118.067,4.0,https://api.spotify.com/v1/tracks/4DKZcdePM0QEh3TmYx5lKT,audio_features,spotify:track:4DKZcdePM0QEh3TmYx5lKT,0.167
9,David Guetta Sam Martin Showtek   R3hab VINAI, Lovers On The Party ,TWOLOUD Mashup,0.0116,https://api.spotify.com/v1/audio-analysis/0fjLOofePoYOFSY9hfnT6G,11A,0.655,206400.0,0.48,0fjLOofePoYOFSY9hfnT6G,0.812,6.0,0.102,-15.16,0.0,0.0328,125.017,4.0,https://api.spotify.com/v1/tracks/0fjLOofePoYOFSY9hfnT6G,audio_features,spotify:track:0fjLOofePoYOFSY9hfnT6G,0.529
