,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Bougenvilla   Jared Hiwat, Homeless  ,unknown,0.00569,https://api.spotify.com/v1/audio-analysis/2L6eKm1OMLskrFNJSje0kv,0.704,173619.0,0.933,2L6eKm1OMLskrFNJSje0kv,0.000703,11.0,0.145,-2.977,0.0,0.0404,126.069,4.0,https://api.spotify.com/v1/tracks/2L6eKm1OMLskrFNJSje0kv,audio_features,spotify:track:2L6eKm1OMLskrFNJSje0kv,0.273
1,Martin Garrix, Forbidden Voices  ,unknown,0.05,https://api.spotify.com/v1/audio-analysis/6EsH66Uto1zwZlDGQ6RokU,0.534,230635.0,0.711,6EsH66Uto1zwZlDGQ6RokU,0.0031,10.0,0.135,-5.927,0.0,0.0368,128.102,4.0,https://api.spotify.com/v1/tracks/6EsH66Uto1zwZlDGQ6RokU,audio_features,spotify:track:6EsH66Uto1zwZlDGQ6RokU,0.3
2,Danny Howard, Bullet  ,unknown,0.00499,https://api.spotify.com/v1/audio-analysis/08EMiTWP8qgEXBExwlWAlt,0.707,301151.0,0.949,08EMiTWP8qgEXBExwlWAlt,0.627,8.0,0.0648,-5.698,1.0,0.0646,128.008,4.0,https://api.spotify.com/v1/tracks/08EMiTWP8qgEXBExwlWAlt,audio_features,spotify:track:08EMiTWP8qgEXBExwlWAlt,0.818
3,KURA   Sarah Mount, Collide  ,SPINNIN',0.00451,https://api.spotify.com/v1/audio-analysis/68aB7uaApwRI9OEZCn1B4N,0.494,213750.0,0.786,68aB7uaApwRI9OEZCn1B4N,0.00308,10.0,0.1,-9.17,1.0,0.351,128.079,4.0,https://api.spotify.com/v1/tracks/68aB7uaApwRI9OEZCn1B4N,audio_features,spotify:track:68aB7uaApwRI9OEZCn1B4N,0.0844
4,Jewelz Sparks, Parade 98  ,unknown,0.00066,https://api.spotify.com/v1/audio-analysis/1cDE7EMYxBmv8pDjp6ZhDY,0.771,240586.0,0.837,1cDE7EMYxBmv8pDjp6ZhDY,0.198,0.0,0.0935,-3.13,1.0,0.141,127.986,4.0,https://api.spotify.com/v1/tracks/1cDE7EMYxBmv8pDjp6ZhDY,audio_features,spotify:track:1cDE7EMYxBmv8pDjp6ZhDY,0.225
5,Sultan + Shepard   Tegan Sara, Make Things Right  ,unknown,0.0629,https://api.spotify.com/v1/audio-analysis/6jHr7GfmNVaHFo6AHXGlol,0.459,234318.0,0.872,6jHr7GfmNVaHFo6AHXGlol,3.41e-06,3.0,0.434,-4.043,1.0,0.0475,126.974,4.0,https://api.spotify.com/v1/tracks/6jHr7GfmNVaHFo6AHXGlol,audio_features,spotify:track:6jHr7GfmNVaHFo6AHXGlol,0.251
6,Alpharock Vida, Knives  ,SPINNIN',0.0138,https://api.spotify.com/v1/audio-analysis/5Km3waeTzgsRqxG5jIVbZ5,0.515,189382.0,0.819,5Km3waeTzgsRqxG5jIVbZ5,0.00352,4.0,0.779,-2.447,0.0,0.0427,128.06,4.0,https://api.spotify.com/v1/tracks/5Km3waeTzgsRqxG5jIVbZ5,audio_features,spotify:track:5Km3waeTzgsRqxG5jIVbZ5,0.14
7,Ummet Ozcan, Kensei  ,unknown,0.0177,https://api.spotify.com/v1/audio-analysis/3QJlbIIKfCB3bPg3OpcdrW,0.745,332163.0,0.928,3QJlbIIKfCB3bPg3OpcdrW,0.588,5.0,0.0528,-2.871,0.0,0.0958,128.027,4.0,https://api.spotify.com/v1/tracks/3QJlbIIKfCB3bPg3OpcdrW,audio_features,spotify:track:3QJlbIIKfCB3bPg3OpcdrW,0.335
8,Alvaro JETFIRE, Guest List  ,unknown,0.00107,https://api.spotify.com/v1/audio-analysis/0r3ZNSbuCYjwRlPBMokCbW,0.72,273398.0,0.976,0r3ZNSbuCYjwRlPBMokCbW,0.0884,4.0,0.277,-2.135,1.0,0.0772,128.004,4.0,https://api.spotify.com/v1/tracks/0r3ZNSbuCYjwRlPBMokCbW,audio_features,spotify:track:0r3ZNSbuCYjwRlPBMokCbW,0.335
9,Daniel Portman, Bordertown  ,unknown,0.0111,https://api.spotify.com/v1/audio-analysis/3J9xYylsGVGdfAbyCbsSFK,0.802,421535.0,0.862,3J9xYylsGVGdfAbyCbsSFK,0.791,7.0,0.348,-5.671,1.0,0.0582,127.014,4.0,https://api.spotify.com/v1/tracks/3J9xYylsGVGdfAbyCbsSFK,audio_features,spotify:track:3J9xYylsGVGdfAbyCbsSFK,0.222
