,Artist(s),Title,Release,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,The Magician   Years Years, Sunlight  ,unknown,0.0114,https://api.spotify.com/v1/audio-analysis/5r3aYGutXgsxSqB6W3RrzJ,0.633,193481.0,0.818,5r3aYGutXgsxSqB6W3RrzJ,0.0,1.0,0.259,-5.437,1.0,0.0376,121.975,4.0,https://api.spotify.com/v1/tracks/5r3aYGutXgsxSqB6W3RrzJ,audio_features,spotify:track:5r3aYGutXgsxSqB6W3RrzJ,0.337
1,Dr. Kucho! Gregor Salto, Can't Stop Playing ,Oliver Heldens & Gregor Salto Remix,,,,,,,,,,,,,,,,,,
2,Bassjackers, Like That  ,unknown,0.000736,https://api.spotify.com/v1/audio-analysis/45m8ly8iDH81y9Twf9s4iP,0.763,260869.0,0.793,45m8ly8iDH81y9Twf9s4iP,0.812,0.0,0.0431,-2.861,1.0,0.0796,128.019,4.0,https://api.spotify.com/v1/tracks/45m8ly8iDH81y9Twf9s4iP,audio_features,spotify:track:45m8ly8iDH81y9Twf9s4iP,0.365
3,Maor Levi   Angela McCluskey, Pick Up The Pieces  ,SPINNIN',0.000224,https://api.spotify.com/v1/audio-analysis/0Fl4pH0OyFngESrEuLYfXF,0.585,330680.0,0.875,0Fl4pH0OyFngESrEuLYfXF,0.0686,5.0,0.496,-6.069,0.0,0.061,127.992,4.0,https://api.spotify.com/v1/tracks/0Fl4pH0OyFngESrEuLYfXF,audio_features,spotify:track:0Fl4pH0OyFngESrEuLYfXF,0.388
4,Vic Mensa, Down On My Luck  ,UMG,0.362,https://api.spotify.com/v1/audio-analysis/0fRsAGSCbEjdSYM1U3NYx2,0.703,209480.0,0.753,0fRsAGSCbEjdSYM1U3NYx2,0.00209,11.0,0.11,-7.702,0.0,0.195,125.055,4.0,https://api.spotify.com/v1/tracks/0fRsAGSCbEjdSYM1U3NYx2,audio_features,spotify:track:0fRsAGSCbEjdSYM1U3NYx2,0.471
5,Sander Van Doorn Robbie Williams, Close My Eyes  ,NEWSTATE,0.78,https://api.spotify.com/v1/audio-analysis/7rwrbAEVvLc4EVgHIDbdW5,0.176,203947.0,0.346,7rwrbAEVvLc4EVgHIDbdW5,0.000289,7.0,0.127,-12.156,0.0,0.0359,71.721,4.0,https://api.spotify.com/v1/tracks/7rwrbAEVvLc4EVgHIDbdW5,audio_features,spotify:track:7rwrbAEVvLc4EVgHIDbdW5,0.144
6,Jewelz Sparks, Motor  ,unknown,0.0229,https://api.spotify.com/v1/audio-analysis/6I97147gt5A6bM3NBqT5KU,0.732,279375.0,0.995,6I97147gt5A6bM3NBqT5KU,0.535,0.0,0.0964,-0.847,1.0,0.115,128.017,4.0,https://api.spotify.com/v1/tracks/6I97147gt5A6bM3NBqT5KU,audio_features,spotify:track:6I97147gt5A6bM3NBqT5KU,0.286
7,Dimitri Vegas Like Mike MOGUAI   Julian Peretta, Body Talk ,Mammoth,0.00253,https://api.spotify.com/v1/audio-analysis/5OLVDfDtBQj4geZCvRmQGk,0.552,207507.0,0.918,5OLVDfDtBQj4geZCvRmQGk,2.35e-05,11.0,0.524,-4.754,0.0,0.298,127.99,4.0,https://api.spotify.com/v1/tracks/5OLVDfDtBQj4geZCvRmQGk,audio_features,spotify:track:5OLVDfDtBQj4geZCvRmQGk,0.653
8,Bobby Puma, Rocking With The Best  ,SPINNIN',,,,,,,,,,,,,,,,,,
9,R3HAB Trevor Guthrie, Soundwave  ,unknown,0.00982,https://api.spotify.com/v1/audio-analysis/1enrwS1KqqBZAaoExK8tLp,0.727,264375.0,0.828,1enrwS1KqqBZAaoExK8tLp,0.0,4.0,0.0591,-3.459,1.0,0.0572,127.963,4.0,https://api.spotify.com/v1/tracks/1enrwS1KqqBZAaoExK8tLp,audio_features,spotify:track:1enrwS1KqqBZAaoExK8tLp,0.393
