,Artist(s),Title,Release
0,Gerry Menu; Roland Klinkenberg; ,Stir It Up,Original Mix
1,David Forbes; ,Covert,Original Mix
2,The Thrillseekers; Aruna; ,Waiting Here For You,Dub Mix
3,Lost Witness; Miguel Sassot; ,Whatever,Original Mix
4,Andrew Bennett; ,Save From Harm,Original Mix
5,Neuromancer; Sonik City; Fruits of Baobab; ,Savannah,Fruits Of Baobab Remix
6,Oliver Smith; ,Nimbus,Original Mix
7,Absolute; ,Dream Odyssey,Original Mix
8,Neal Scarborough; Sean Tyas; ,Stung On The River,Sean Tyas Remix
9,Ferry Tayle; Tonks; Manuel Le Saux; ,Vol De Nuit,Manuel Le Saux Remix
10,Factoria; Dark Moon; ,Revive,Dark Moon Mix
11,Adrian Ivan; Yanave; ,Before Sunset,Yanave Remix
12,Jaren; Matt Cerf; Shawn Mitiska; ,Me & You,Original Mix
13,David West; Vadim Soloviev; ,True Love,Vadim Soloviev Remix
14,Carrie Skipper; Elevation; Mike Shiver; Maor Levi; ,Hurricane,Maor Levi Remix
15,Fatboy Slim; ,"Right Here, Right Now",Bootleg
16,George Acosta; Mike Shiver; Mike Shiver; ,The Apocalypse,Mike Shiver Remix
17,DJ Vincenzo; ,Robocop,Original Mix
18,Signum; Mannuel Le Saux; ,Push Through,Mannuel Le Saux Remix
19,Michael Dow; ,Orbit,Original Mix
20,Marzz; ,Kosmonautentraum,Original Mix
